,Need_id,Need_tweets
0,591976009823428608,RT @Abbi_Casey: If you want to help w #Nepal #earthquake donate to #RedCross Blood Donations also needed- http://t.co/JRyBbWmFQq
1,591987020924260354,"Walked all arnd central &amp; old KTM.Shops out of bottled water,ph. recharge cards,dry food stock low.Grid off in many parts:@kashishds #Nepal"
2,591979790627840000,"Nepalis,  r w/o water &amp; electricity. Water is essential to be supplied to the affected people in Nepal."
3,591985786880327682,"RT @karunajohn: RightWingers of ALL religions must keep away from Nepal. The survivors, do not need your bullshit. They need,food,water,med…"
4,591989264256106499,RT @ankydas0: @canvassss @skyasesh @YouthForBlood they are in search of blood donors for the people who are injured in earthquake... help t…
5,591997786230427648,Nepal earthquake: Injured treated outdoors as Kathmandu hospital grapples with rush of victims: A massive 7.9-... http://t.co/lfGTbRMlKN
6,591995052169105408,@adgpi @BDUTT  Need more resources and personnel from Army for restoring Power / Bridges / Roads and to have substantial presence in Nepal
7,591989562395598848,RT @gunaraj: So many after shocks. People are still out of home. Hospital situation is too terrible. #Nepal #earthquake
8,591988336090173440,"Food, First Aid &amp; Tents, would be the principal needs of those displaced by the earthquake. @temsutulaimsong @shaileshkpandey @hchaturv"
9,591992896485597184,@PMOIndia 1 Lac Rail Neer bottles is not what Nepal needs. It needs 1 Crore liters of drinking water.
10,591996367784026113,@HuffingtonPost donations pour in for this while people in Nepal sleep outdoors with no water or blankets #ashamedtobehuman
11,591991053449699328,RT @snobers: Health workers take care of injured people outside hospital after an #earthquake caused serious damage in #Kathmandu http://t.…
12,591996373869826048,India could surely despatch 3-4 Field Ambulance Units to Nepal. They need us now.
13,592012112500666370,"@laveypj Ppl in nepal need food, medicines nt bible
how inhumane shameless creature u r.."
14,592006342212063232,@BisleriZone Plz provide water in Nepal
15,592008885633822720,"RT @reportedly: From @UN_Nepal 
- Most affected areas: Gorkha &amp; Lamjung, NW of Kathmandu.
- 1 Kathmandu hospital so full it’s treating peop…"
16,592011381005651968,RT @dipakbhattarai: TU teaching hospital. #Earthquake injured are getting treatment on open space. Tents are urgent need. http://t.co/Dp2fs…
17,592006860271521793,"Prey for Nepal. Help Nepal in any form. food, shelter, money, water, medicine ..any help you can. #nepalquake"
18,592014627862523904,RT @DavidFullards: A Survivor Being Dug Out of Rubble in Nepal Earthquake. Over 1400 killed.  Many Trapped.  Medical Supplies Requested. ht…
19,592018533673869313,RT @SurgeryHealth: Our thoughts are with the people of #Nepal. Large need for surgical care even before the earthquake. @BJSurgery  http://…
20,592024096059305984,"RT @anantal: Everybody is sheltering on open sky in Kathmandu tonight, having very poor access to food, water and latrine."
21,592022003579691008,Icu patients in out side of hospital. CMS HOSPITAL BHARATPUR NEPAL. http://t.co/uQFhYHaqJ0
22,592018397384286208,need your help support contribution for #nepalearthquake victim pls help the way you can.  #food #water #medical... http://t.co/xmAJrz37c5
23,592022722437218304,"RT @Krittivasm: About 50% of houses in #Nepal damaged, essential commodities supply running low &amp; 5,000 tents need to house patients at dam…"
24,592023168681775104,"RT @Ekendra: This is how people r trying to keep themselves warm tonite, #Nepal needs warm cloths &amp; food. #NepalEarthquake http://t.co/bUGi…"
25,592035222650167296,@pmharper pls send medicines and food to nepal you plz contact @SushmaSwaraj @narendramodi for better coordination.
26,592026971648839680,@SushmaSwaraj can solar lightup equipment be sent as relief material to nepal ?to counter darkness till power is restored
27,592028815234207745,"RT @BuRrNInG_sOuL: Plz provide medicine ,blood,food,clean water,shelter and moral support to people of #Nepal
#NepalEarthquake"
28,592050419259453440,RT @Ashishp_1: Its Time we need an international agency to tackle such Emergency. Cant we setup Some agency on the lines of @RedCross socie…
29,592052489240780800,"RT @ppariyar: i spent three hours in Trama center people are coming more and more,more volunteers,doctor ++ needed #Nepal Earth quick"
30,592049438908092416,"RT @QRCS: Calling #Nepalese community in #Qatar to urge their families in #Nepal to donate blood, O+ type is mostly needed.
#NepalEarthquak…"
31,592043734218375168,@nytimes plz send medicine and food packets to nepal if possible. #NepalEarthquake #NepalQuakeRelief
32,592037641186463744,"RT @SuryahSG: 10 frnds stuck in Thame, Nepal. Its remotest place they require helicopter rescue. Hotel # 097738540167. Contact ppl Iqbal,Na…"
33,592076323297759232,"RT @Krittivasm: As #Nepal I&amp;B minister Rijal said 5,000 tents needed to house patients forced out of damaged hospital wards. https://t.co/v…"
34,592057847745089536,THT - A hospital thronging with quake victims http://t.co/ml2JKZWFfl
35,592066377768443904,"RT @vegnepal: Please donate meat-free food to quake affected people.
#NepalQuake #Nepal #food #vegetarian"
36,592063210175336448,"RT @SusannaDiCosimo: #Nepal #NepalEarthquake track leaving from #Delhi 2morrow.donate Savalon,antibiotics, painkillers,disprins,clothes htt…"
37,592135286466945024,"World Community #Nepal needs humanitarian aid, rescue &amp; medical aid #NepalEarthquake"
38,592126369565278209,"RT @thehimalayan: A hospital thronging with quake victims
- http://t.co/W2sbkHDNMI

#Nepal #Earthquake"
39,592139574266044416,"no electricity, no shelter, no communication, no food #help #nepal #NepalQuake #earthquake"
40,592089990512807936,"@mashable some pictures from Norvic Hospital *A Class Hospital of nepal* 
Patients have been put on parking lot. http://t.co/sR3JuvidaX"
41,592142806304436224,@AnubhaShukla7 you should visit nepal they need medical store
42,592155414029991937,"RT @arunmsk: Nepal needs help  it needs food, medicine relief materials for people in distress  Doesn't need Ramdev. A nuisance value."
43,592148963110703105,#Nepal plunges in despair. Kathmandu a classic case of urban disaster. Temporary shelter is a big need.
44,592157346899558400,"Earthquake destroyed hospital, road building in Kavre district of Nepal. Dhulikhel hospital, scheermeorial... http://t.co/EvcNlCWPEB"
45,592176920617361408,"Blood donations - apparently shortage of certain types. Please call Dr. Manita at 98510-84500 at Nepal Red Cross Blood
 VIa Kank Mani Dixit"
46,592176679214133248,RT @rajsh_regmi: blood crisis here in #Kathmandu after the massive #earthquakerelief in #nepal
47,592181723967926274,"Nepal doesn't need money, but needs special forces with equipment, water, tents, medicines directly to victims. #nepalquake"
48,592178230452326401,"Please help Nepal,ur help needed there. Thousands are dying without water,foods,medicines. https://t.co/4w6m7eKxDv"
49,592181615658291200,"@narendramodi 
modi g 
can you send some doctor for nepal 
nepal people needd to us"
50,592174366344884224,"RT @aloksinha2001: RT @anirmukerji: RT @Krittivasm: 50% of houses in #Nepal damaged, commodities supply low, 5,000 tents need fr patients a…"
51,592186643290853376,"@PMOIndia sir nepal need more medical kind of help, so we have response to cure our brothers and sisters and our families"
52,592197780904353792,"Photo: A child receives treatment outside the emergency ward of Bir hospital on April 25, 2015 in Kathmandu, #Nepal. http://t.co/nyKSQb32r2"
53,592192429928763392,"#SoulVultures: Pickaxes, shovels and earth-moving equipment required in Nepal. http://t.co/ZA1VVGIXB0"
54,592191998196494336,@RaoKavitha send some food n water to Nepal.
55,592187621213806592,@MEAcontrolroom @SushmaSwaraj Indians stranded in Nepal's Sundhara relief camp need help. Without food or water. Please check TV news.
56,592197561575833600,"At least, people should get #water to drink if not food immediately ! #earthquake"
57,592189847936180225,"#Nepal : glad to hear from more friends in #Kathmandu . Internet is back, but great shortage of #water and #power, they say. #earthquake"
58,592208493848895489,"our Farmers need just Compensation; but survivors in EarthQuake needs Food, Water, Shelter, Medicines, Compensations And CAPITAL To #Rebuilt"
59,592209897825013761,Nepal needs Aid to rebuild but first priority is to rescue those who are alive in debris &amp; need medical treatment to injured.
60,592211354515156992,"Sadly, not a doctor or a nurse to help out the Nepal."
61,592209596183285762,"People desperate for food, medicine, shelter from #Nepalearthquake. At least 1,900 people are dead. #earthquake"
62,592211486795137024,"@vikramchandra Operation Maitri can't give birth to already dead 2000!
Nepal will be needing Medical aid to injured. #Reconstruction."
63,592217703563177984,"Our brethren in Nepal need massive humanitarian need. All schools, colleges and universities must conduct blood donation camps on priority."
64,592221039867793408,"From water to electricity, no safe shelter, no toilets, no food and rain. You're facing a lot #Nepal citizens. Have strength and be safe"
65,592220518763274241,requirement of ambulances and buses as HM @BJPRajnathSingh requested to rescue ppl in Nepal i hope you have decided https://t.co/hw9FqINGWh
66,592213511796752384,My area need mask #earthquake
67,592215736669442050,"RT @NepaliEr: Help provide food, shelter, medicines to quate victims nepal | nepalquakehelp http://t.co/ogQPKLNT3o"
68,592215009255555074,RT @BidurBs: Please Donate Blood #Pray4Nepal #earthquake #NepalEarthquake #Nepal #NepalQuake  https://t.co/725VFAPoOT
69,592222331025502208,@WHO In need of your valuable assistance and emergency medical aid to the earthquake affected areas of Nepal and India.
70,592216232264216577,Electricity still down in most parts of #KTM. Ppl taking shelter in open spaces. Aftershocks still coming. #earthquake
71,592222386184794112,@IOM_Nepal assesing needs of ppl taking shelter in open spaces. Crucial need for shelter WASH health! #NepalQuake http://t.co/rG1HsR76S3
72,592222997156474880,"@PMOIndia @narendramodi @SushmaSwaraj ji pls send buses to evaquate people, arrande droping of water, food, blanket in nepal to save life"
73,592220359803437056,"Lack of blood in blood bank in nepal.
#QuakeNepal
@BBCWorld
@ibnlive"
74,592232533900701696,"RT @MusicForRelief: Nepal devastated by 7.8 quake . Help us provide immediate medical care, food, &amp; water: text MFR to 41444. http://t.co/9…"
75,592236529654702080,"RT @nepocean: clean water, food, rescue &amp; medicos is need of the nation now. #earthquake #kathmandu http://t.co/BUleYYUAb5"
76,592241024249925632,"@MEAIndia ""Need 10 medium &amp; heavy lift helicopters, fixed wing aircraft, water treatment plants urgently"": Ram Sharan Mahant (FinMin Nepal)"
